model_class,miner_time_sec,scientist_time_sec,at_time_sec,total_time_sec,model_wall_time_sec,size_label
FourKMLP,5.02698,220.92721999999998,8.221979999999999,234.17624,234.17918,4k
SixKMLP,2.96362,227.27278,5.9512,236.18760000000003,236.18942,6k
EightKMLP,2.786,220.92309999999998,7.81896,231.52800000000002,231.5297,8k
TenKMLP,2.77608,222.95182,7.857519999999999,233.58542000000003,233.5875,10k
TwelveKMLP,2.84542,222.13204000000002,7.865039999999999,232.84247999999997,232.84408000000002,12k
