model_class,miner_time_sec,scientist_time_sec,at_time_sec,total_time_sec,model_wall_time_sec,size_label
FourKCNN,3.4454000000000002,47.240120000000005,1.4609,52.14642,52.1486,4k
SixKCNN,0.68168,46.67916,1.31678,48.677620000000005,48.67928,6k
EightKCNN,0.66602,46.984680000000004,1.31812,48.96884,48.970420000000004,8k
TenKCNN,0.6680200000000001,47.58524,1.3227600000000002,49.57602,49.57762,10k
TwelveKCNN,0.67214,47.635000000000005,1.3148,49.62192,49.6235,12k
