experiment,seed,model_class,family,tp,fp,tn,fn,precision,recall,f1,miner_time_sec,scientist_time_sec,at_time_sec,total_time_sec,model_wall_time_sec
rt_ae,5,FourKAE,ae,10,10,0,0,0.5,1.0,0.6667,1.5362,60.8721,2.7908,65.1991,65.2016
rt_ae,5,SixKAE,ae,10,10,0,0,0.5,1.0,0.6667,0.8293,58.0652,2.5117,61.4063,61.4081
rt_ae,5,EightKAE,ae,10,5,5,0,0.6667,1.0,0.8,0.8106,57.967,2.4924,61.2701,61.2713
rt_ae,5,TenKAE,ae,10,3,7,0,0.7692,1.0,0.8696,0.8023,58.1777,2.4829,61.4629,61.4642
rt_ae,5,TwelveKAE,ae,10,2,8,0,0.8333,1.0,0.9091,0.8056,58.1133,2.4812,61.4001,61.4013
rt_ae,5,ALL,ae,50,30,20,0,0.625,1.0,0.7692,4.7841,293.1954,12.759,310.7384,312.4496
