experiment,seed,model_class,family,tp,fp,tn,fn,precision,recall,f1,miner_time_sec,scientist_time_sec,at_time_sec,total_time_sec,model_wall_time_sec
rt_ae,4,FourKAE,ae,10,10,0,0,0.5,1.0,0.6667,1.3245,62.3283,2.562,66.2149,66.2169
rt_ae,4,SixKAE,ae,10,10,0,0,0.5,1.0,0.6667,0.9691,66.2891,2.6958,69.9539,69.9558
rt_ae,4,EightKAE,ae,10,1,9,0,0.9091,1.0,0.9524,0.9512,66.7065,2.6977,70.3553,70.3566
rt_ae,4,TenKAE,ae,10,0,10,0,1.0,1.0,1.0,0.9594,61.6093,2.6943,65.263,65.2643
rt_ae,4,TwelveKAE,ae,10,4,6,0,0.7143,1.0,0.8333,0.9564,66.7089,2.6837,70.349,70.3502
rt_ae,4,ALL,ae,50,25,25,0,0.6667,1.0,0.8,5.1606,323.6421,13.3335,342.1362,343.8303
