model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,9,0,10,1,1.0,0.9,0.9474
SixKCNN,10,0,10,0,1.0,1.0,1.0
EightKCNN,10,0,10,0,1.0,1.0,1.0
TenKCNN,10,0,10,0,1.0,1.0,1.0
TwelveKCNN,10,0,10,0,1.0,1.0,1.0
