model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,10,10,0,0,0.5,1.0,0.6667
SixKCNN,10,6,4,0,0.625,1.0,0.7692
EightKCNN,3,0,10,7,1.0,0.3,0.4615
TenKCNN,9,0,10,1,1.0,0.9,0.9474
TwelveKCNN,9,0,10,1,1.0,0.9,0.9474
