model_class,tp,fp,tn,fn,precision,recall,f1
FourKMLP,10,6,4,0,0.625,1.0,0.7692
SixKMLP,10,0,10,0,1.0,1.0,1.0
EightKMLP,9,0,10,1,1.0,0.9,0.9474
TenKMLP,10,9,1,0,0.5263,1.0,0.6897
TwelveKMLP,10,0,10,0,1.0,1.0,1.0
