model_class,tp,fp,tn,fn,precision,recall,f1
FourKMLP,10,10,0,0,0.5,1.0,0.6667
SixKMLP,10,0,10,0,1.0,1.0,1.0
EightKMLP,10,10,0,0,0.5,1.0,0.6667
TenKMLP,10,0,10,0,1.0,1.0,1.0
TwelveKMLP,10,0,10,0,1.0,1.0,1.0
