experiment,seed,model_class,family,tp,fp,tn,fn,precision,recall,f1,miner_time_sec,scientist_time_sec,at_time_sec,total_time_sec,model_wall_time_sec
rt_cnn,0,FourKCNN,cnn,10,1,9,0,0.9091,1.0,0.9524,6.238,45.238,1.4014,52.8774,52.8798
rt_cnn,0,SixKCNN,cnn,10,4,6,0,0.7143,1.0,0.8333,0.6619,45.9449,1.3097,47.9164,47.9181
rt_cnn,0,EightKCNN,cnn,10,7,3,0,0.5882,1.0,0.7407,0.6546,46.3791,1.3208,48.3546,48.3562
rt_cnn,0,TenKCNN,cnn,10,9,1,0,0.5263,1.0,0.6897,0.6592,46.8631,1.317,48.8393,48.8409
rt_cnn,0,TwelveKCNN,cnn,10,10,0,0,0.5,1.0,0.6667,0.6609,46.8946,1.3122,48.8677,48.8693
rt_cnn,0,ALL,cnn,50,31,19,0,0.6173,1.0,0.7634,8.8746,231.3196,6.6611,246.8553,289.8076
