experiment,seed,model_class,family,tp,fp,tn,fn,precision,recall,f1,miner_time_sec,scientist_time_sec,at_time_sec,total_time_sec,model_wall_time_sec
rt_ae,2,FourKAE,ae,10,10,0,0,0.5,1.0,0.6667,1.3781,58.1026,2.7926,62.2733,62.2752
rt_ae,2,SixKAE,ae,10,3,7,0,0.7692,1.0,0.8696,0.8295,58.2113,2.4951,61.5359,61.5373
rt_ae,2,EightKAE,ae,10,6,4,0,0.625,1.0,0.7692,0.8128,58.603,2.2624,61.6782,61.6795
rt_ae,2,TenKAE,ae,10,5,5,0,0.6667,1.0,0.8,0.8174,59.0361,2.4934,62.3469,62.3481
rt_ae,2,TwelveKAE,ae,10,6,4,0,0.625,1.0,0.7692,0.8206,59.2563,2.5109,62.5878,62.589
rt_ae,2,ALL,ae,50,30,20,0,0.625,1.0,0.7692,4.6584,293.2092,12.5545,310.4221,312.1926
