experiment,seed,model_class,family,tp,fp,tn,fn,precision,recall,f1,miner_time_sec,scientist_time_sec,at_time_sec,total_time_sec,model_wall_time_sec
rt_ae,1,FourKAE,ae,10,9,1,0,0.5263,1.0,0.6897,1.3609,60.9328,2.7722,65.0659,65.0675
rt_ae,1,SixKAE,ae,10,3,7,0,0.7692,1.0,0.8696,1.0014,71.1787,3.0293,75.2094,75.2108
rt_ae,1,EightKAE,ae,10,2,8,0,0.8333,1.0,0.9091,1.1098,59.9975,2.5239,63.6312,63.6333
rt_ae,1,TenKAE,ae,10,3,7,0,0.7692,1.0,0.8696,0.8025,58.1402,2.4958,61.4385,61.4398
rt_ae,1,TwelveKAE,ae,10,8,2,0,0.5556,1.0,0.7143,0.8091,58.119,2.4806,61.4087,61.41
rt_ae,1,ALL,ae,50,25,25,0,0.6667,1.0,0.8,5.0837,308.3682,13.3018,326.7537,328.4176
