input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,2,8,0,0.8333,1.0,0.9091
64,10,8,2,0,0.5556,1.0,0.7143
96,10,1,9,0,0.9091,1.0,0.9524
128,10,2,8,0,0.8333,1.0,0.9091
160,10,3,7,0,0.7692,1.0,0.8696
