input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9,1,9,1,0.9,0.9,0.9
64,10,7,3,0,0.5882,1.0,0.7407
96,10,1,9,0,0.9091,1.0,0.9524
128,6,0,10,4,1.0,0.6,0.75
160,10,1,9,0,0.9091,1.0,0.9524
