input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,9,1,0,0.5263,1.0,0.6897
64,10,9,1,0,0.5263,1.0,0.6897
96,10,0,10,0,1.0,1.0,1.0
128,10,3,7,0,0.7692,1.0,0.8696
160,10,1,9,0,0.9091,1.0,0.9524
