input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,4,6,0,0.7143,1.0,0.8333
64,10,6,4,0,0.625,1.0,0.7692
96,8,0,10,2,1.0,0.8,0.8889
128,7,0,10,3,1.0,0.7,0.8235
160,9,3,7,1,0.75,0.9,0.8182
