input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9,3,7,1,0.75,0.9,0.8182
64,10,7,3,0,0.5882,1.0,0.7407
96,9,2,8,1,0.8182,0.9,0.8571
128,7,1,9,3,0.875,0.7,0.7778
160,10,2,8,0,0.8333,1.0,0.9091
