input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,6,4,0,0.625,1.0,0.7692
64,10,9,1,0,0.5263,1.0,0.6897
96,9,1,9,1,0.9,0.9,0.9
128,9,1,9,1,0.9,0.9,0.9
160,9,1,9,1,0.9,0.9,0.9

"Miner seed=42"
"Benign seeds= 5000, 5001, ... , 5009"
"Malicious seeds= 6000, 6001, ... , 6009"
