input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9,3,7,1,0.75,0.9,0.8182
64,9,10,0,1,0.4737,0.9,0.6207
96,10,1,9,0,0.9091,1.0,0.9524
128,10,3,7,0,0.7692,1.0,0.8696
160,9,1,9,1,0.9,0.9,0.9

"Miner seed=42"
"Benign seeds= 15000, 15001, ... , 15009"
"Malicious seeds= 16000, 16001, ... , 16009"
