input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,1,9,0,0.9091,1.0,0.9524
64,10,8,2,0,0.5556,1.0,0.7143
96,10,2,8,0,0.8333,1.0,0.9091
128,8,0,10,2,1.0,0.8,0.8889
160,9,2,8,1,0.8182,0.9,0.8571

"Miner seed=42"
"Benign seeds= 3000, 3001, ... , 3009"
"Malicious seeds= 4000, 4001, ... , 4009"
