input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9.8,4.2,5.8,0.2,0.72,0.98,0.823
64,9.9,8.3,1.7,0.1,0.547,0.99,0.704
96,9.9,0.9,9.1,0.1,0.923,0.99,0.954
128,9.2,1.3,8.7,0.8,0.888,0.92,0.897
160,9.6,0.7,9.3,0.4,0.934,0.96,0.946
