input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,6,0,10,4,1.0,0.6,0.75
64,10,10,0,0,0.5,1.0,0.6667
96,10,1,9,0,0.9091,1.0,0.9524
128,9,0,10,1,1.0,0.9,0.9474
160,10,4,6,0,0.7143,1.0,0.8333


"Miner seed=42"
"Benign seeds= 7000, 7001, ... , 7009"
"Benign seeds= 8000, 8001, ... , 8009"
