input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,2,8,0,0.8333,1.0,0.9091
64,10,6,4,0,0.625,1.0,0.7692
96,10,0,10,0,1.0,1.0,1.0
128,10,0,10,0,1.0,1.0,1.0
160,10,0,10,0,1.0,1.0,1.0

"Miner seed=42"
"Benign seeds= 11000, 11001, ... , 11009"
"Malicious seeds= 12000, 12001, ... , 12009"
