input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,4,6,0,0.7143,1.0,0.8333
64,10,6,4,0,0.625,1.0,0.7692
96,10,0,10,0,1.0,1.0,1.0
128,7,1,9,3,0.875,0.7,0.7778
160,10,1,9,0,0.9091,1.0,0.9524

"Miner seed=42"
"Benign seeds= 13000, 13001, ... , 13009"
"Malicious seeds= 14000, 14001, ... , 14009"

