model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,1,0,10,9,1.0,0.1,0.1818
SixKCNN,3,0,10,7,1.0,0.3,0.4615
EightKCNN,1,0,10,9,1.0,0.1,0.1818
TenKCNN,2,0,10,8,1.0,0.2,0.3333
TwelveKCNN,7,0,10,3,1.0,0.7,0.8235
