input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,5,5,0,0.6667,1.0,0.8
64,10,8,2,0,0.5556,1.0,0.7143
96,10,3,7,0,0.7692,1.0,0.8696
128,10,3,7,0,0.7692,1.0,0.8696
160,10,0,10,0,1.0,1.0,1.0

"Miner seed=42"
"Benign seeds= 9000, 9001, ... , 9009"
"Malicious seeds= 10000, 10001, ... , 10009"
