model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,9,0,10,1,1.0,0.9,0.9474
SixKCNN,10,7,3,0,0.5882,1.0,0.7407
EightKCNN,10,3,7,0,0.7692,1.0,0.8696
TenKCNN,10,0,10,0,1.0,1.0,1.0
TwelveKCNN,10,0,10,0,1.0,1.0,1.0
