model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,9,5,5,1,0.6429,0.9,0.75
SixKCNN,3,0,10,7,1.0,0.3,0.4615
EightKCNN,1,0,10,9,1.0,0.1,0.1818
TenKCNN,0,0,10,10,0.0,0.0,0.0
TwelveKCNN,0,0,10,10,0.0,0.0,0.0
