model_class,tp,fp,tn,fn,precision,recall,f1
FourKMLP,9,0,10,1,1.0,0.9,0.9474
SixKMLP,9,0,10,1,1.0,0.9,0.9474
EightKMLP,9,0,10,1,1.0,0.9,0.9474
TenKMLP,9,0,10,1,1.0,0.9,0.9474
TwelveKMLP,9,0,10,1,1.0,0.9,0.9474
