experiment,seed,model_class,family,tp,fp,tn,fn,precision,recall,f1,miner_time_sec,scientist_time_sec,at_time_sec,total_time_sec,model_wall_time_sec
rt_ae,0,FourKAE,ae,10,10,0,0,0.5,1.0,0.6667,4.2204,58.8371,3.1713,66.2287,66.2306
rt_ae,0,SixKAE,ae,10,1,9,0,0.9091,1.0,0.9524,1.1328,57.5947,2.5368,61.2642,61.2654
rt_ae,0,EightKAE,ae,10,4,6,0,0.7143,1.0,0.8333,0.7988,58.1685,2.4688,61.4361,61.4373
rt_ae,0,TenKAE,ae,10,1,9,0,0.9091,1.0,0.9524,0.8058,58.5503,2.4816,61.8377,61.8388
rt_ae,0,TwelveKAE,ae,10,4,6,0,0.7143,1.0,0.8333,0.8106,58.1068,2.4671,61.3845,61.3857
rt_ae,0,ALL,ae,50,20,30,0,0.7143,1.0,0.8333,7.7683,291.2573,13.1256,312.1512,316.1823
