input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,8,4,6,2,0.6667,0.8,0.7273
64,10,6,4,0,0.625,1.0,0.7692
96,9,0,10,1,1.0,0.9,0.9474
128,6,1,9,4,0.8571,0.6,0.7059
160,8,1,9,2,0.8889,0.8,0.8421
