input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,8,2,8,2,0.8,0.8,0.8
64,10,8,2,0,0.5556,1.0,0.7143
96,9,1,9,1,0.9,0.9,0.9
128,7,1,9,3,0.875,0.7,0.7778
160,10,2,8,0,0.8333,1.0,0.9091
