model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,10,9,1,0,0.5263,1.0,0.6897
SixKCNN,10,4,6,0,0.7143,1.0,0.8333
EightKCNN,10,10,0,0,0.5,1.0,0.6667
TenKCNN,10,1,9,0,0.9091,1.0,0.9524
TwelveKCNN,10,10,0,0,0.5,1.0,0.6667
