model_class,tp,fp,tn,fn,precision,recall,f1
FourKMLP,8,0,10,2,1.0,0.8,0.8889
SixKMLP,8,0,10,2,1.0,0.8,0.8889
EightKMLP,8,0,10,2,1.0,0.8,0.8889
TenKMLP,8,0,10,2,1.0,0.8,0.8889
TwelveKMLP,8,0,10,2,1.0,0.8,0.8889
