n_seeds,model_class,size_label,precision,recall,f1
5,FourKMLP,4k,0.65704,0.9279999999999999,0.758708
5,SixKMLP,6k,0.771328,0.852,0.7652680000000001
5,EightKMLP,8k,0.840436,0.86,0.8212520000000001
5,TenKMLP,10k,0.9441160000000001,0.88,0.877624
5,TwelveKMLP,12k,0.907308,0.892,0.8679399999999999
