n_seeds,model_class,size_label,precision,recall,f1
5,FourKMLP,4k,0.580424,0.98,0.725044
5,SixKMLP,6k,0.702744,0.92,0.762688
5,EightKMLP,8k,0.815068,0.92,0.833092
5,TenKMLP,10k,0.7147880000000001,0.9640000000000001,0.8110120000000001
5,TwelveKMLP,12k,0.714112,0.9520000000000001,0.78432
