n_seeds,model_class,size_label,precision,recall,f1
5,FourKCNN,4k,0.7018479999999999,0.948,0.785256
5,SixKCNN,6k,0.5604480000000001,0.98,0.708728
5,EightKCNN,8k,0.555,0.9640000000000001,0.697628
5,TenKCNN,10k,0.633528,0.9840000000000001,0.7553799999999999
5,TwelveKCNN,12k,0.550584,1.0,0.706652
