n_seeds,model_class,size_label,precision,recall,f1
5,FourKAE,4k,0.5,1.0,0.6667000000000001
5,SixKAE,6k,0.5,1.0,0.6667000000000001
5,EightKAE,8k,0.51112,1.0,0.67622
5,TenKAE,10k,0.5,1.0,0.6667000000000001
5,TwelveKAE,12k,0.51112,1.0,0.67622
