n_seeds,model_class,size_label,precision,recall,f1
5,FourKMLP,4k,0.589108,0.9520000000000001,0.7199
5,SixKMLP,6k,0.720304,0.888,0.7545879999999999
5,EightKMLP,8k,0.788528,0.8759999999999999,0.795848
5,TenKMLP,10k,0.767644,0.924,0.815104
5,TwelveKMLP,12k,0.714112,0.9159999999999999,0.750048
