model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,6,10,0,4,0.375,0.6,0.4615
SixKAE,7,6,4,3,0.5385,0.7,0.6087
EightKAE,5,2,8,5,0.7143,0.5,0.5882
TenKAE,9,8,2,1,0.5294,0.9,0.6667
TwelveKAE,4,3,7,6,0.5714,0.4,0.4706
