n_seeds,model_class,size_label,precision,recall,f1
5,FourKAE,4k,0.51112,1.0,0.67622
5,SixKAE,6k,0.5229,1.0,0.6861
5,EightKAE,8k,0.6474599999999999,1.0,0.78404
5,TenKAE,10k,0.55558,1.0,0.7123999999999999
5,TwelveKAE,12k,0.63402,1.0,0.76228
