model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,10,0,0,0.5,1.0,0.6667
SixKAE,5,6,4,5,0.4545,0.5,0.4762
EightKAE,10,10,0,0,0.5,1.0,0.6667
TenKAE,7,6,4,3,0.5385,0.7,0.6087
TwelveKAE,8,6,4,2,0.5714,0.8,0.6667
