model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,10,0,0,0.5,1.0,0.6667
SixKAE,10,10,0,0,0.5,1.0,0.6667
EightKAE,0,3,7,10,0.0,0.0,0.0
TenKAE,1,0,10,9,1.0,0.1,0.1818
TwelveKAE,5,6,4,5,0.4545,0.5,0.4762
