model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,10,0,0,0.5,1.0,0.6667
SixKAE,10,10,0,0,0.5,1.0,0.6667
EightKAE,10,10,0,0,0.5,1.0,0.6667
TenKAE,6,8,2,4,0.4286,0.6,0.5
TwelveKAE,8,10,0,2,0.4444,0.8,0.5714
