model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,5,7,3,5,0.4167,0.5,0.4545
SixKAE,1,3,7,9,0.25,0.1,0.1429
EightKAE,0,4,6,10,0.0,0.0,0.0
TenKAE,4,6,4,6,0.4,0.4,0.4
TwelveKAE,8,6,4,2,0.5714,0.8,0.6667
