model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,7,3,0,0.5882,1.0,0.7407
SixKAE,10,3,7,0,0.7692,1.0,0.8696
EightKAE,10,4,6,0,0.7143,1.0,0.8333
TenKAE,10,6,4,0,0.625,1.0,0.7692
TwelveKAE,10,6,4,0,0.625,1.0,0.7692
