model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,10,0,0,0.5,1.0,0.6667
SixKAE,10,10,0,0,0.5,1.0,0.6667
EightKAE,3,1,9,7,0.75,0.3,0.4286
TenKAE,8,5,5,2,0.6154,0.8,0.6957
TwelveKAE,4,0,10,6,1.0,0.4,0.5714
