experiment,n_seeds,model_class,size_label,precision,recall,f1
,50,FourKAE,4k,0.501424,0.986,0.664426
,50,SixKAE,6k,0.549782,0.8859999999999999,0.6641799999999999
,50,EightKAE,8k,0.5906560000000001,0.732,0.623396
,50,TenKAE,10k,0.608034,0.848,0.6827880000000001
,50,TwelveKAE,12k,0.675458,0.8320000000000001,0.719056
