input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,8,4,6,2,0.6667,0.8,0.7273
64,9,9,1,1,0.5,0.9,0.6429
96,9,0,10,1,1.0,0.9,0.9474
128,9,1,9,1,0.9,0.9,0.9
160,9,2,8,1,0.8182,0.9,0.8571
