input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,7,1,9,3,0.875,0.7,0.7778
64,10,4,6,0,0.7143,1.0,0.8333
96,8,0,10,2,1.0,0.8,0.8889
128,8,0,10,2,1.0,0.8,0.8889
160,10,0,10,0,1.0,1.0,1.0
