model_class,tp,fp,tn,fn,precision,recall,f1
FourKMLP,10,5,5,0,0.6667,1.0,0.8
SixKMLP,10,5,5,0,0.6667,1.0,0.8
EightKMLP,10,5,5,0,0.6667,1.0,0.8
TenKMLP,10,5,5,0,0.6667,1.0,0.8
TwelveKMLP,10,5,5,0,0.6667,1.0,0.8
