model_class,tp,fp,tn,fn,precision,recall,f1
FourKMLP,2,0,10,8,1.0,0.2,0.3333
SixKMLP,10,10,0,0,0.5,1.0,0.6667
EightKMLP,3,0,10,7,1.0,0.3,0.4615
TenKMLP,2,0,10,8,1.0,0.2,0.3333
TwelveKMLP,3,0,10,7,1.0,0.3,0.4615
