model_class,tp,fp,tn,fn,precision,recall,f1
FourKMLP,9,10,0,1,0.4737,0.9,0.6207
SixKMLP,4,0,10,6,1.0,0.4,0.5714
EightKMLP,10,10,0,0,0.5,1.0,0.6667
TenKMLP,9,0,10,1,1.0,0.9,0.9474
TwelveKMLP,10,0,10,0,1.0,1.0,1.0
