input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9,3,7,1,0.75,0.9,0.8182
64,10,9,1,0,0.5263,1.0,0.6897
96,7,0,10,3,1.0,0.7,0.8235
128,9,1,9,1,0.9,0.9,0.9
160,9,2,8,1,0.8182,0.9,0.8571
