input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9,0,10,1,1.0,0.9,0.9474
64,9,8,2,1,0.5294,0.9,0.6667
96,7,0,10,3,1.0,0.7,0.8235
128,7,0,10,3,1.0,0.7,0.8235
160,9,1,9,1,0.9,0.9,0.9
