input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,5,5,0,0.6667,1.0,0.8
64,10,6,4,0,0.625,1.0,0.7692
96,8,0,10,2,1.0,0.8,0.8889
128,6,0,10,4,1.0,0.6,0.75
160,10,2,8,0,0.8333,1.0,0.9091
