input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,3,7,0,0.7692,1.0,0.8696
64,9,8,2,1,0.5294,0.9,0.6667
96,9,1,9,1,0.9,0.9,0.9
128,10,2,8,0,0.8333,1.0,0.9091
160,10,3,7,0,0.7692,1.0,0.8696
