model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,10,10,0,0,0.5,1.0,0.6667
SixKCNN,10,6,4,0,0.625,1.0,0.7692
EightKCNN,9,0,10,1,1.0,0.9,0.9474
TenKCNN,10,0,10,0,1.0,1.0,1.0
TwelveKCNN,10,0,10,0,1.0,1.0,1.0
