model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,7,1,9,3,0.875,0.7,0.7778
SixKCNN,4,8,2,6,0.3333,0.4,0.3636
EightKCNN,4,2,8,6,0.6667,0.4,0.5
TenKCNN,10,10,0,0,0.5,1.0,0.6667
TwelveKCNN,4,0,10,6,1.0,0.4,0.5714
