input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,1,9,0,0.9091,1.0,0.9524
64,9,7,3,1,0.5625,0.9,0.6923
96,8,0,10,2,1.0,0.8,0.8889
128,7,0,10,3,1.0,0.7,0.8235
160,9,1,9,1,0.9,0.9,0.9
