input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9.3,3.5,6.5,0.7,0.75,0.93,0.821
64,9.8,6.8,3.2,0.2,0.594,0.98,0.739
96,9.3,0.6,9.4,0.7,0.948,0.93,0.934
128,7.7,0.8,9.2,2.3,0.92,0.77,0.827
160,9.7,2.0,8.0,0.3,0.835,0.97,0.895
