input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,3,7,0,0.7692,1.0,0.8696
64,10,5,5,0,0.6667,1.0,0.8
96,10,0,10,0,1.0,1.0,1.0
128,7,0,10,3,1.0,0.7,0.8235
160,10,2,8,0,0.8333,1.0,0.9091
