input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9,6,4,1,0.6,0.9,0.72
64,10,7,3,0,0.5882,1.0,0.7407
96,9,0,10,1,1.0,0.9,0.9474
128,7,0,10,3,1.0,0.7,0.8235
160,9,4,6,1,0.6923,0.9,0.7826
