input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,7,3,0,0.5882,1.0,0.7407
64,10,6,4,0,0.625,1.0,0.7692
96,10,1,9,0,0.9091,1.0,0.9524
128,10,2,8,0,0.8333,1.0,0.9091
160,10,2,8,0,0.8333,1.0,0.9091
