input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,3,7,0,0.7692,1.0,0.8696
64,10,7,3,0,0.5882,1.0,0.7407
96,10,2,8,0,0.8333,1.0,0.9091
128,7,2,8,3,0.7778,0.7,0.7368
160,10,2,8,0,0.8333,1.0,0.9091
